Model,MSE,RMSE,MAE,R-squared,ASE,MBD
EnsembleAggregator,661806089346.8328,813514.6522016876,466402.9894751668,0.7603727483109556,0.4062752185496709,-0.19826389563735763
CatBoost,666887071919.4055,816631.5398754848,480832.55803738505,0.7585330222804091,0.4188445550536875,-0.18777387541307208
GBR,672461234968.1041,820037.3375451291,475476.07661962864,0.7565147250883348,0.41417862085565615,-0.17098038438808905
KNN,899869598918.3807,948614.5681563091,594152.1293603384,0.6741745318781325,0.5175551865121062,-0.26731876066637084
LightGBM,655362710262.8226,809544.7549473856,469036.4102848248,0.7627057719055493,0.4085691438441485,-0.1670433275963565
RandomForest,796222131968.586,892312.7993974905,533157.9471981168,0.7117032854654904,0.4644242562920835,-0.20839728858523854
SVR,703259003389.5367,838605.3919392223,475317.2277315827,0.7453634456973169,0.4140402504588886,-0.14553006376964994
XGBoost,653541290378.4581,808419.0066905022,470349.04676691693,0.7633652730012446,0.4097125577708867,-0.1682033856394596
BiLSTM,690251061832.2828,830813.494011913,500358.77739360876,0.7500733710601567,0.435853491993233,-0.1662840898969378
CNNLSTM,777071761103.4585,881516.738980865,530174.8477104801,0.7186372662993108,0.4618257322181731,-0.2876769194563662
DeepAR,705023148482.574,839656.5657949528,484970.8374410434,0.7447246827015843,0.42244933548408914,-0.18118482403370056
GRU,673117858768.9803,820437.6019960204,473664.26245401165,0.756276974243593,0.4126003822664573,-0.1742087720845896
KAN,1211011359140.2766,1100459.6126802096,700166.0679435931,0.5615160869229804,0.6099020132674189,-0.41132985395533705
LSTM,679531564050.0125,824337.0451763116,481033.3665742823,0.7539546949621284,0.41901947574256726,-0.14365129444484548
TCN,679187366539.2649,824128.2464151225,493965.1163652801,0.7540793222583506,0.4302840893731088,-0.18874439127079087
Transformer,830690623326.197,911422.3078936553,509342.07285523915,0.6992229079246255,0.44367867838639286,-0.1073002774688586
